date,open,high,low,close,volume,fear_greed,hash_rate,n_transactions
2020-04-28,7773.51,7780.0,7659.12,7738.98,46302.752638,26.0,122169572.167586,323475.0
2020-04-29,7738.58,8952.89,7710.05,8778.57,183546.887514,26.0,115029791.975974,331401.0
2020-04-30,8778.58,9460.0,8401.0,8620.0,206277.214124,44.0,107096702.874182,321972.0
2020-05-01,8620.0,9059.18,8613.56,8826.96,91468.815059,40.0,111856556.335257,340574.0
2020-05-02,8825.67,9010.0,8753.0,8972.05,59002.08755,40.0,117409718.706511,286773.0
2020-05-03,8972.58,9200.0,8712.0,8894.16,90126.065643,45.0,133275896.910094,281752.0
2020-05-04,8894.15,8950.0,8522.0,8871.96,84418.512331,44.0,125342807.808302,326098.0
2020-05-05,8871.92,9118.58,8760.0,9021.83,76480.765342,40.0,126294576.814336,329075.0
2020-05-06,9021.36,9395.0,8906.21,9142.92,105925.30242,42.0,123288445.655594,333395.0
2020-05-07,9143.4,10067.0,9021.0,9986.4,147154.611378,49.0,117684425.398522,341986.0
2020-05-08,9986.3,10035.96,9705.0,9800.01,100683.7964,55.0,109678682.174133,323625.0
2020-05-09,9800.02,9914.25,9520.0,9539.4,81950.679567,56.0,108878107.851694,312399.0
2020-05-10,9539.1,9574.83,8117.0,8722.77,183865.182028,48.0,136097634.814617,286789.0
2020-05-11,8722.77,9168.0,8200.0,8561.52,168807.251832,40.0,125690168.622911,305839.0
2020-05-12,8562.04,8978.26,8528.78,8810.79,86522.780066,39.0,116883851.076083,345215.0
2020-05-13,8810.99,9398.0,8792.99,9309.37,92466.274018,41.0,95268344.370232,296796.0
2020-05-14,9309.35,9939.0,9256.76,9791.98,129565.37747,40.0,91265472.7580373,268750.0
2020-05-15,9791.97,9845.62,9150.0,9316.42,115890.761516,44.0,100071790.304866,310642.0
2020-05-16,9315.96,9588.0,9220.0,9381.27,59587.627862,41.0,100872364.627304,296555.0
2020-05-17,9380.81,9888.0,9322.1,9680.04,68647.764323,40.0,81658580.8887703,236808.0
2020-05-18,9681.11,9950.0,9464.23,9733.93,82006.603583,50.0,102473513.272182,273723.0
2020-05-19,9733.93,9897.21,9474.0,9775.53,78539.760454,50.0,92066047.0804763,274897.0
2020-05-20,9775.13,9842.0,9326.0,9511.43,74923.73809,52.0,86971887.3185643,280037.0
2020-05-21,9511.43,9578.47,8815.0,9068.65,108928.780969,49.0,98579623.7035512,298483.0
2020-05-22,9067.51,9271.0,8933.52,9170.0,58943.131024,42.0,83529299.4740014,278784.0
2020-05-23,9170.0,9307.85,9070.0,9179.15,43526.296966,40.0,89549429.1658213,269230.0
2020-05-24,9179.01,9298.0,8700.0,8720.34,70379.86645,43.0,87291880.5313888,214530.0
2020-05-25,8718.14,8979.66,8642.72,8900.35,62833.910949,41.0,94064526.4346863,265875.0
2020-05-26,8900.35,9017.67,8700.0,8841.18,58299.770138,39.0,93312010.2232088,295782.0
2020-05-27,8841.0,9225.0,8811.73,9204.07,68910.355514,39.0,103847237.183894,292927.0
2020-05-28,9204.07,9625.47,9110.0,9575.89,74110.787662,41.0,98579623.7035512,299910.0
2020-05-29,9575.87,9605.26,9330.0,9427.07,57374.362961,48.0,95569558.8576412,280960.0
2020-05-30,9426.6,9740.0,9331.23,9697.72,55665.27254,48.0,117392528.990488,286046.0
2020-05-31,9697.72,9700.0,9381.41,9448.27,48333.786403,51.0,112877431.721623,258427.0
2020-06-01,9448.27,10380.0,9421.67,10200.77,76649.12696,50.0,100837172.337984,308312.0
2020-06-02,10202.71,10228.99,9266.0,9518.04,108970.773151,56.0,97074591.2805962,304114.0
2020-06-03,9518.02,9690.0,9365.21,9666.24,46252.644939,48.0,104599753.395371,314000.0
2020-06-04,9666.32,9881.63,9450.0,9789.06,57456.100969,54.0,108668660.65278,318285.0
2020-06-05,9788.14,9854.75,9581.0,9621.16,47788.05005,53.0,122192367.725211,327082.0
2020-06-06,9621.17,9735.0,9531.05,9666.3,32752.950893,54.0,133797229.464477,284873.0
2020-06-07,9666.85,9802.0,9372.46,9746.99,57952.848385,54.0,108539589.208428,252368.0
2020-06-08,9746.99,9800.0,9633.0,9782.01,40664.664125,53.0,110587505.985945,317275.0
2020-06-09,9782.0,9877.0,9570.0,9772.43,46024.001289,52.0,109222228.134267,327074.0
2020-06-10,9772.44,9992.72,9704.18,9885.0,47130.762982,54.0,111952783.837623,325163.0
2020-06-11,9885.22,9964.0,9113.0,9280.4,94418.98473,52.0,126288201.280246,332490.0
2020-06-12,9278.88,9557.12,9232.51,9465.13,50119.066932,38.0,111270144.911784,318274.0
2020-06-13,9464.96,9494.73,9351.0,9473.34,27759.784851,38.0,107856950.282588,280181.0
2020-06-14,9473.34,9480.99,9245.0,9342.1,30055.506608,40.0,116048617.392658,275723.0
2020-06-15,9342.1,9495.0,8910.45,9426.02,86107.924707,37.0,94204171.7658051,294468.0
2020-06-16,9426.05,9589.0,9373.09,9525.59,52052.446927,39.0,106374812.691088,340517.0
2020-06-17,9526.97,9565.0,9236.61,9465.14,48046.411152,38.0,108283617.573483,333547.0
2020-06-18,9465.13,9489.0,9280.0,9386.32,37381.953765,40.0,97298323.0370428,283897.0
2020-06-19,9386.32,9438.3,9215.79,9310.23,45330.983673,39.0,111422273.155323,344142.0
2020-06-20,9310.23,9395.0,9170.95,9358.95,30329.065384,38.0,107498953.678023,284123.0
2020-06-21,9358.95,9422.0,9281.54,9294.69,24316.926234,37.0,114560928.737163,259440.0
2020-06-22,9294.69,9780.0,9277.09,9685.69,57895.468343,38.0,112206937.050783,301396.0
2020-06-23,9685.69,9720.0,9577.03,9624.89,41031.02938,41.0,123976895.482684,355256.0
2020-06-24,9624.33,9670.0,9208.0,9296.49,61571.561464,50.0,109068281.468943,312321.0
2020-06-25,9298.33,9340.0,9009.69,9249.49,55831.619156,43.0,110637609.259863,312183.0
2020-06-26,9249.49,9298.0,9045.45,9162.21,50292.298277,40.0,128684878.855444,330381.0
2020-06-27,9162.21,9196.24,8833.0,9012.0,46290.930113,43.0,108283617.573483,275489.0
2020-06-28,9012.0,9191.0,8948.06,9116.35,30688.176421,40.0,117699584.319003,264909.0
2020-06-29,9116.16,9238.0,9024.67,9192.56,42120.293261,41.0,113776264.841703,315424.0
2020-06-30,9192.93,9205.0,9064.89,9138.55,31463.162801,44.0,115344676.145677,299733.0
2020-07-01,9138.08,9292.0,9080.1,9232.0,38488.528699,42.0,127111309.039231,382570.0
2020-07-02,9231.99,9261.96,8940.0,9086.54,45725.168076,42.0,128680584.459468,339469.0
2020-07-03,9086.54,9125.0,9037.47,9058.26,28943.420177,41.0,127895946.749349,331009.0
2020-07-04,9057.79,9190.0,9040.04,9135.46,26441.968484,40.0,123188120.488637,288647.0
2020-07-05,9135.0,9145.24,8893.03,9069.41,34073.653627,38.0,127895946.749349,274104.0
2020-07-06,9069.41,9375.0,9055.92,9344.2,54463.132277,40.0,120834207.358281,338767.0
2020-07-07,9342.47,9379.42,9203.0,9257.39,34587.336678,43.0,126326671.329112,345975.0
2020-07-08,9257.4,9470.0,9231.0,9436.06,56140.517781,44.0,118480294.227925,347455.0
2020-07-09,9436.06,9440.79,9160.0,9232.43,48044.450645,44.0,128680584.459468,362718.0
2020-07-10,9232.42,9317.48,9125.0,9288.34,38295.494006,41.0,126326671.329112,345996.0
2020-07-11,9288.34,9299.28,9178.25,9234.03,22561.366,44.0,122403482.778518,306771.0
2020-07-12,9234.02,9345.0,9157.5,9302.75,30872.702286,41.0,119264931.938044,282364.0
2020-07-13,9303.31,9343.82,9200.89,9242.62,42740.069115,43.0,121086665.700822,310227.0
2020-07-14,9242.61,9279.54,9113.0,9255.85,45772.552509,43.0,124167138.542574,359847.0
2020-07-15,9255.85,9276.49,9160.57,9197.6,39053.579665,44.0,118993507.769967,316064.0
2020-07-16,9197.6,9226.15,9047.25,9133.72,43375.571191,43.0,117268964.179098,345849.0
2020-07-17,9133.72,9186.83,9089.81,9154.32,28054.358741,41.0,101748071.861276,293907.0
2020-07-18,9154.31,9219.3,9121.1,9170.28,22554.541457,44.0,112095333.40649,311022.0
2020-07-19,9170.3,9232.27,9101.35,9208.99,26052.019417,41.0,112957605.201925,277093.0
2020-07-20,9208.99,9221.52,9131.0,9160.78,35458.764082,44.0,121580323.15627,309747.0
2020-07-21,9160.78,9437.73,9152.8,9390.0,60413.582486,44.0,107783974.429318,312871.0
2020-07-22,9390.0,9544.0,9261.0,9518.16,48815.004107,50.0,124167138.542574,364792.0
2020-07-23,9518.16,9664.0,9440.33,9603.27,51856.2335,55.0,117268964.179098,336245.0
2020-07-24,9603.27,9637.0,9463.44,9537.8,43931.136205,53.0,138825759.064961,369432.0
2020-07-25,9538.1,9732.9,9513.0,9700.42,40679.545416,55.0,122442594.951705,293883.0
2020-07-26,9700.42,10111.0,9650.0,9931.54,65279.269319,55.0,136238943.678657,298580.0
2020-07-27,9931.54,11394.86,9917.21,11029.96,150188.933144,58.0,128205972.903398,326769.0
2020-07-28,11029.96,11242.23,10565.0,10906.27,97267.734187,76.0,121437040.395232,354742.0
2020-07-29,10906.27,11342.82,10812.0,11100.53,76838.094233,71.0,123949530.886168,346521.0
2020-07-30,11100.52,11170.0,10831.0,11099.61,60794.826456,76.0,113062072.092113,327789.0
2020-07-31,11099.79,11444.0,10960.0,11335.46,70063.660974,75.0,128137015.037728,356906.0
2020-08-01,11335.46,11861.0,11220.0,11801.17,85087.485126,75.0,114737065.752737,296705.0
2020-08-02,11801.17,12123.46,10518.5,11071.35,97553.077604,80.0,118087053.073985,287869.0
2020-08-03,11071.36,11473.0,10936.0,11219.81,56931.841475,75.0,135674486.510536,333753.0
2020-08-04,11219.68,11414.98,11000.0,11191.97,58629.113709,72.0,121437040.395232,329032.0
2020-08-05,11191.99,11780.93,11093.0,11744.91,74970.256852,75.0,108037091.110241,291814.0
2020-08-06,11744.91,11900.0,11562.5,11762.46,63529.08502,79.0,130649505.528664,356612.0
2020-08-07,11762.47,11909.94,11322.0,11594.23,65755.926022,77.0,127299518.207416,326499.0
2020-08-08,11594.36,11808.27,11512.0,11761.41,41858.16104,77.0,118924549.904297,283631.0
2020-08-09,11761.02,11797.11,11521.97,11681.68,41493.067342,79.0,130649505.528664,268402.0
2020-08-10,11681.69,12067.35,11450.0,11892.92,84952.337887,78.0,114901504.532898,308367.0
2020-08-11,11892.9,11935.0,11125.0,11392.08,90748.284634,84.0,129741892.842126,349952.0
2020-08-12,11392.09,11617.52,11150.0,11564.33,64909.613644,75.0,132269332.313077,346405.0
2020-08-13,11564.34,11792.96,11270.36,11780.0,70132.491502,75.0,123844534.076575,325346.0
2020-08-14,11779.77,11850.0,11634.03,11760.54,59818.852697,78.0,140694130.549579,365679.0
2020-08-15,11760.55,11980.0,11680.0,11852.4,56237.90505,79.0,131426852.489427,313760.0
2020-08-16,11852.4,11931.72,11686.0,11911.0,41368.236906,82.0,128056933.194826,285069.0
2020-08-17,11910.99,12468.0,11769.78,12281.13,84734.21154,83.0,105309977.956271,292944.0
2020-08-18,12281.15,12387.77,11817.93,11945.01,75923.835527,82.0,117947175.311024,346036.0
2020-08-19,11945.1,12020.08,11561.0,11754.59,73940.169606,80.0,116262215.6637237,333879.0
2020-08-20,11754.38,11888.0,11668.0,11853.55,46085.254351,75.0,123002054.25292504,333683.0
2020-08-21,11853.54,11878.0,11485.81,11531.34,64448.306142,81.0,130584372.6657766,314297.0
2020-08-22,11531.23,11686.0,11376.81,11662.96,43678.701646,78.0,114577256.01642336,311699.0
2020-08-23,11663.51,11718.07,11514.13,11648.13,37900.00469,76.0,132269332.31307696,288728.0
2020-08-24,11648.12,11824.9,11585.09,11748.2,46212.391867,78.0,128441437.17505692,329133.0
2020-08-25,11748.19,11767.85,11117.64,11318.42,69590.923272,75.0,111720008.69546376,304409.0
2020-08-26,11318.42,11539.32,11244.0,11461.43,53998.231231,76.0,123939384.6465301,324184.0
2020-08-27,11461.42,11592.2,11125.0,11330.38,63246.036383,75.0,112592821.26339708,328157.0
2020-08-28,11330.38,11542.65,11276.89,11526.91,45953.908365,74.0,142268448.57312962,352722.0
2020-08-29,11526.9,11580.02,11417.04,11465.84,32973.7992,79.0,127430634.91826336,292783.0
2020-08-30,11465.84,11719.0,11458.0,11711.16,43177.879054,75.0,110847196.12753049,269114.0
2020-08-31,11711.17,11800.77,11570.0,11649.51,55353.617744,75.0,130921885.1899966,302920.0
2020-09-01,11649.51,12050.85,11515.0,11921.97,78148.193668,75.0,134413135.46172985,376508.0
2020-09-02,11921.97,11954.57,11160.1,11388.54,87221.845602,83.0,125685009.78239676,317449.0
2020-09-03,11388.54,11462.6,9960.8,10140.85,121950.106015,79.0,112592821.26339708,310922.0
2020-09-04,10138.29,10627.05,9875.5,10446.25,92733.599113,40.0,117829696.67099696,298286.0
2020-09-05,10446.25,10565.68,9825.0,10166.69,90001.605568,41.0,123066572.0785968,325523.0
2020-09-06,10166.69,10347.14,9994.86,10256.2,56368.788815,41.0,130921885.1899966,262820.0
2020-09-07,10255.89,10410.75,9875.0,10373.44,62620.230676,41.0,151762133.7678071,327662.0
2020-09-08,10373.45,10438.0,9850.0,10126.65,73491.878418,41.0,133652505.32879265,332668.0
2020-09-09,10126.66,10343.0,9981.01,10219.2,49347.113776,38.0,128478859.9612265,314864.0
2020-09-10,10219.29,10483.35,10070.83,10336.87,58253.75375,38.0,136239328.01257572,345981.0
2020-09-11,10336.86,10397.6,10200.0,10387.89,43830.254467,41.0,118993843.45402186,308323.0
2020-09-12,10387.89,10477.97,10269.25,10440.92,35379.153096,41.0,146586618.74770805,300152.0
2020-09-13,10440.67,10580.11,10200.0,10332.83,43837.609865,38.0,139688424.9242865,255110.0
2020-09-14,10332.84,10750.0,10212.34,10671.77,67059.291361,39.0,151760264.11527425,354020.0
